URI_Length,GET_Length,POST_Length,URI_Entropy,GET_Entropy,POST_Entropy,Numeric_Text_Ratio,Special_Char_Count,label
41,31,0,4.2963,4.1715,0.0,0.1,12,0
35,21,0,4.2973,3.4992,0.0,0.0,11,1
23,13,40,3.7623,3.3927,4.2628,0.0656,15,0
20,9,0,3.8219,2.7255,0.0,0.0,5,0
36,27,0,3.9749,3.6801,0.0,0.0392,12,0
24,14,40,3.9183,3.4677,4.1128,0.0299,11,0
27,20,0,4.3104,3.9219,0.0,0.129,14,1
36,29,0,4.8156,4.4871,0.0,0.1951,18,1
15,5,40,3.7736,2.3219,4.3342,0.0408,11,0
34,24,0,3.5869,3.4387,0.0,0.0,25,1
7,0,40,2.8074,0.0,4.0464,0.0513,8,0
11,4,0,3.2776,2.0,0.0,0.1818,4,0
25,23,0,3.8137,3.7081,0.0,0.0,12,1
43,33,0,4.3129,4.0667,0.0,0.0,26,1
38,30,0,4.3737,3.7996,0.0,0.5385,16,1
40,30,0,4.0464,3.7647,0.0,0.087,24,1
30,20,0,3.8981,3.5464,0.0,0.0,5,0
29,22,0,4.3232,3.8454,0.0,0.2759,16,1
8,0,0,3.0,0.0,0.0,0.0,1,0
32,23,0,4.3903,4.1757,0.0,0.0513,16,1
37,27,0,4.0468,3.9582,0.0,0.0444,19,1
31,21,0,3.8457,3.4992,0.0,0.0,11,1
37,30,0,4.0468,3.7647,0.0,0.093,24,1
9,0,40,2.7255,0.0,4.1939,0.0488,8,0
39,29,0,4.8045,4.4182,0.0,0.1818,18,1
31,20,0,4.236,3.7842,0.0,0.05,9,0
45,35,0,4.3916,4.3357,0.0,0.0,12,1
10,0,55,2.9219,0.0,4.4798,0.2407,11,1
33,23,0,3.9832,3.7951,0.0,0.0,8,0
38,24,0,4.5214,3.9702,0.0,0.0,15,1
6,0,48,2.585,0.0,4.2563,0.0233,11,1
31,24,0,4.1958,3.8239,0.0,0.093,12,0
13,0,0,3.5466,0.0,0.0,0.0,2,0
37,27,0,4.0237,3.9582,0.0,0.0435,18,1
16,9,40,3.5,2.7255,4.2062,0.037,11,0
34,24,40,3.83,3.6368,4.1939,0.0241,15,0
40,30,0,4.0464,3.7647,0.0,0.087,24,1
9,0,0,2.9477,0.0,0.0,0.0,1,0
8,0,0,3.0,0.0,0.0,0.0,1,0
35,29,0,4.7649,4.4871,0.0,0.2,18,1
9,0,34,3.1699,0.0,4.1163,0.0625,8,1
31,21,0,3.8213,3.4992,0.0,0.0,10,1
32,23,0,3.9681,3.7081,0.0,0.0,12,1
30,23,0,4.0817,3.7081,0.0,0.0,12,1
17,10,0,3.7345,3.1219,0.0,0.0,4,0
21,15,0,3.9161,3.5069,0.0,0.1429,8,0
30,20,0,4.3484,3.9219,0.0,0.1176,14,1
46,36,0,3.7588,3.4569,0.0,0.2222,19,1
1,0,48,-0.0,0.0,4.2563,0.0263,11,1
12,10,40,3.4183,3.1219,4.1251,0.0392,11,0
15,6,0,3.6402,2.585,0.0,0.1176,4,0
52,38,0,4.5691,4.0682,0.0,0.3562,17,1
28,22,0,4.1375,3.6978,0.0,0.1429,18,1
46,35,0,4.1292,3.9357,0.0,0.0,13,0
35,24,0,3.8214,3.4387,0.0,0.0,25,1
34,24,0,3.8559,3.4387,0.0,0.0,24,1
32,30,0,3.9292,3.7647,0.0,0.1053,24,1
13,6,0,3.7004,2.585,0.0,0.4,4,0
5,0,40,2.3219,0.0,4.1751,0.0541,8,0
25,18,40,4.0537,3.8366,4.1128,0.0294,15,0
26,24,0,3.5035,3.4387,0.0,0.0,24,1
29,22,0,4.0733,3.8797,0.0,0.0488,8,0
1,0,0,-0.0,0.0,0.0,0.0,1,0
20,6,0,4.0219,2.585,0.0,0.0952,5,0
41,31,0,4.0132,3.8245,0.0,0.0667,12,0
38,31,0,4.2211,3.9779,0.0,0.0351,12,0
31,23,0,4.1313,3.882,0.0,0.0476,12,0
43,36,0,3.9926,3.6979,0.0,0.0,12,0
45,31,0,4.1772,3.8245,0.0,0.0,15,1
5,0,47,2.3219,0.0,4.3901,0.3333,10,1
34,27,0,4.2417,3.9582,0.0,0.0465,18,1
24,17,40,4.0535,3.6169,4.3439,0.0303,15,0
13,5,0,3.7004,2.3219,0.0,0.2857,4,0
37,30,0,4.0468,3.7647,0.0,0.093,24,1
20,10,0,3.3087,2.5219,0.0,0.2857,9,0
28,20,40,3.7979,3.5842,4.1153,0.0274,15,0
42,33,0,3.6558,3.384,0.0,0.0,34,1
35,21,0,4.3544,3.8209,0.0,0.0,9,1
34,23,0,4.1134,3.7081,0.0,0.0,13,1
40,30,0,4.4128,4.1614,0.0,0.0408,17,1
25,14,0,4.0235,3.5216,0.0,0.1333,9,0
29,18,0,3.8144,3.3921,0.0,0.0,9,0
40,31,0,4.0964,3.8245,0.0,0.0,14,1
16,6,0,3.3278,2.585,0.0,0.3529,5,0
46,35,0,4.1891,3.9002,0.0,0.0,13,0
39,29,0,4.8045,4.4871,0.0,0.1818,18,1
21,14,0,3.8209,3.3788,0.0,0.0741,8,0
47,33,0,3.8942,3.384,0.0,0.0,35,1
30,22,0,4.0566,3.6978,0.0,0.1333,18,1
24,22,0,4.0535,3.8797,0.0,0.0556,8,0
20,6,0,4.0219,2.585,0.0,0.0952,5,0
13,0,0,3.5466,0.0,0.0,0.0,2,0
32,22,0,4.2264,3.6978,0.0,0.125,18,1
41,31,0,3.8753,3.8245,0.0,0.0,15,1
37,30,0,4.4224,4.1614,0.0,0.0426,16,1
38,24,0,3.9381,3.4387,0.0,0.0,25,1
33,23,0,4.2714,4.1757,0.0,0.05,16,1
34,24,0,4.147,3.9702,0.0,0.0,15,1
28,22,0,4.2534,4.0615,0.0,0.1579,12,0
35,21,0,4.2973,3.4992,0.0,0.0,11,1
23,16,40,3.969,3.625,4.0939,0.125,15,0
44,38,0,4.3951,4.0682,0.0,0.3939,16,1
16,5,0,3.75,2.3219,0.0,0.25,5,0
23,15,0,3.6753,3.3736,0.0,0.0,4,0
31,21,0,4.0392,3.8209,0.0,0.0,8,1
34,24,40,3.8337,3.6054,4.1939,0.0513,20,0
8,6,0,3.0,2.585,0.0,0.2,4,0
47,33,0,4.4105,4.0667,0.0,0.0,27,1
5,0,0,2.3219,0.0,0.0,0.0,1,0
30,24,0,4.1232,3.9702,0.0,0.0,8,0
34,24,0,3.8559,3.4387,0.0,0.0,24,1
39,29,0,4.0023,3.6933,0.0,0.0714,12,0
9,0,40,2.7255,0.0,4.1751,0.0488,8,0
31,21,0,4.1069,4.0114,0.0,0.0455,8,0
30,24,0,3.7777,3.4387,0.0,0.0,24,1
31,21,0,4.2603,3.9754,0.0,0.15,12,0
41,30,0,4.3522,3.7996,0.0,0.5185,17,1
6,0,40,2.585,0.0,4.2464,0.0526,8,0
13,5,0,3.7004,2.3219,0.0,0.2857,4,0
24,15,40,4.0016,3.5069,4.1751,0.0625,15,0
8,0,39,3.0,0.0,3.9772,0.0,11,1
41,34,0,4.705,4.3594,0.0,0.0816,18,1
34,24,0,3.5869,3.4387,0.0,0.0,25,1
33,23,0,4.0179,3.7081,0.0,0.0,13,1
38,24,0,4.5214,3.9702,0.0,0.0,15,1
33,25,0,3.9374,3.8137,0.0,0.0,12,0
41,33,0,4.1899,4.0667,0.0,0.0,26,1
47,33,0,3.8942,3.384,0.0,0.0,35,1
13,0,40,3.5466,0.0,4.3031,0.0455,9,0
43,33,0,4.1757,4.0667,0.0,0.0,27,1
13,0,39,3.5466,0.0,3.9772,0.0,12,1
45,39,0,4.3332,4.163,0.0,0.0833,12,0
35,27,0,4.0931,3.9582,0.0,0.0455,18,1
18,8,0,3.4194,2.75,0.0,0.0,4,0
41,34,0,4.6866,4.3594,0.0,0.0816,18,1
23,9,40,3.8279,2.9477,4.0628,0.0333,12,0
41,31,0,4.0609,3.8245,0.0,0.0,14,1
30,20,0,4.1647,3.9219,0.0,0.1176,14,1
13,0,0,3.5466,0.0,0.0,0.0,2,0
41,31,0,3.9913,3.8245,0.0,0.0,14,1
27,20,0,4.3104,3.9219,0.0,0.129,14,1
1,0,0,-0.0,0.0,0.0,0.0,1,0
27,19,0,3.6899,3.4316,0.0,0.0,8,0
31,22,0,4.2603,3.7544,0.0,0.2581,16,1
40,30,0,4.3414,3.7996,0.0,0.5185,16,1
31,21,0,4.1439,3.4992,0.0,0.0,10,1
48,38,0,4.427,4.0682,0.0,0.3714,16,1
14,7,0,3.6645,2.8074,0.0,0.0,4,0
43,33,0,4.2398,3.8997,0.0,0.0,12,0
39,30,0,4.3681,4.1614,0.0,0.0408,16,1
26,16,40,3.9501,3.5,4.2251,0.0597,15,0
32,23,0,4.0542,3.5884,0.0,0.0465,12,0
28,18,0,4.0391,3.7255,0.0,0.0,8,0
32,24,0,4.2889,3.9702,0.0,0.0,14,1
10,0,0,2.9219,0.0,0.0,0.0,2,0
17,9,40,3.3372,2.7255,4.2439,0.0364,11,0
36,22,0,4.3712,3.6978,0.0,0.1143,19,1
36,22,0,4.3712,3.6978,0.0,0.1143,19,1
44,33,0,4.0838,3.862,0.0,0.0312,13,0
24,13,0,3.7721,2.9312,0.0,0.1429,9,0
36,26,0,4.0651,3.7381,0.0,0.04,12,0
19,9,0,3.5766,2.9477,0.0,0.0,4,0
19,9,40,3.5766,2.9477,4.1628,0.0351,11,0
30,23,0,4.3232,4.1757,0.0,0.0541,16,1
9,0,48,2.7255,0.0,4.2563,0.0217,11,1
40,31,0,4.0964,3.8245,0.0,0.0,14,1
15,6,40,3.7736,2.585,4.1653,0.16,11,0
32,21,0,4.2889,3.5945,0.0,0.0667,19,1
32,18,0,4.2889,3.7255,0.0,0.0,9,0
9,0,0,3.1699,0.0,0.0,0.0,1,0
29,19,0,3.7975,3.4714,0.0,0.0,8,0
9,0,0,2.9477,0.0,0.0,0.0,1,0
34,24,0,4.1944,3.9702,0.0,0.0,14,1
35,21,0,4.3544,3.8209,0.0,0.0,9,1
45,35,40,4.0702,3.783,4.2128,0.0192,16,0
1,0,40,-0.0,0.0,4.0062,0.0606,8,0
34,24,0,3.5869,3.4387,0.0,0.0,25,1
23,16,0,4.0888,3.625,0.0,0.1935,8,0
37,31,40,4.1753,3.9779,4.1964,0.022,15,0
38,31,0,3.9682,3.7166,0.0,0.0,8,0
35,33,0,3.4454,3.384,0.0,0.0,34,1
41,35,0,4.473,4.3357,0.0,0.0,12,1
32,23,0,3.9681,3.7081,0.0,0.0,12,1
16,9,0,3.75,2.7255,0.0,0.0,4,0
7,0,0,2.8074,0.0,0.0,0.0,1,0
40,30,0,4.0464,3.7647,0.0,0.087,24,1
7,0,0,2.8074,0.0,0.0,0.0,1,0
28,21,0,4.0391,3.5945,0.0,0.0741,18,1
10,0,0,2.9219,0.0,0.0,0.0,2,0
30,22,0,4.2566,3.8454,0.0,0.2667,16,1
35,33,0,4.1503,4.0667,0.0,0.0,26,1
28,21,0,4.107,3.8209,0.0,0.0,8,1
20,10,0,3.6219,3.1219,0.0,0.0,5,0
41,33,0,4.5402,4.2942,0.0,0.0417,18,1
9,0,40,2.9477,0.0,4.0226,0.0488,8,0
30,22,0,4.0566,3.6978,0.0,0.1333,18,1
11,9,0,3.4594,3.1699,0.0,0.0,4,0
25,15,0,4.0235,3.4566,0.0,0.0,5,0
33,23,0,4.162,3.7081,0.0,0.0,12,1
14,8,0,3.5216,3.0,0.0,0.0,4,0
40,33,40,4.1873,3.9226,4.3653,0.0213,19,0
23,21,0,3.7951,3.5945,0.0,0.0909,18,1
55,47,40,3.9939,3.8878,4.1776,0.0163,19,0
11,4,0,3.4594,2.0,0.0,0.1818,4,0
8,0,39,3.0,0.0,3.9772,0.0,11,1
31,24,0,4.3248,4.1368,0.0,0.0465,12,0
37,30,0,4.0468,3.7647,0.0,0.093,24,1
33,23,0,4.0179,3.7081,0.0,0.0,12,1
34,24,40,4.0431,3.6573,4.2628,0.0759,19,0
41,30,0,4.4218,4.1614,0.0,0.04,17,1
9,0,40,2.9477,0.0,4.1439,0.0488,8,0
40,30,0,4.3414,3.7996,0.0,0.5185,16,1
30,20,0,4.1647,3.9219,0.0,0.1176,14,1
37,27,0,4.1957,4.0323,0.0,0.1071,8,0
10,0,0,2.9219,0.0,0.0,0.0,2,0
6,0,47,2.585,0.0,4.3901,0.3256,10,1
31,24,0,4.2084,3.9702,0.0,0.0,14,1
26,24,0,3.9022,3.7202,0.0,0.0526,12,0
30,21,0,3.9484,3.4992,0.0,0.0,10,1
13,0,0,3.5466,0.0,0.0,0.0,2,0
41,30,0,4.1804,3.7647,0.0,0.087,25,1
29,22,0,4.0473,3.6069,0.0,0.1379,18,1
47,33,0,4.4105,4.0667,0.0,0.0,27,1
25,15,0,3.7231,3.3736,0.0,0.0,4,0
27,20,0,4.1623,3.9842,0.0,0.1026,8,0
6,0,40,2.585,0.0,4.1251,0.0526,8,0
44,36,0,3.8157,3.4569,0.0,0.2258,18,1
44,33,0,3.703,3.384,0.0,0.0,35,1
46,36,0,3.8014,3.4569,0.0,0.2188,18,1
9,0,40,2.9477,0.0,4.2751,0.0488,8,0
43,29,0,4.8506,4.4182,0.0,0.1702,19,1
45,35,0,4.4193,4.3357,0.0,0.0,12,1
35,21,0,4.3544,3.8209,0.0,0.0,9,1
5,0,0,2.3219,0.0,0.0,0.0,1,0
9,0,0,2.4194,0.0,0.0,0.0,2,0
40,33,0,3.6108,3.384,0.0,0.0,34,1
21,19,0,3.8209,3.6163,0.0,0.0,8,0
45,35,0,4.369,4.3357,0.0,0.0,13,1
31,24,0,3.8213,3.4387,0.0,0.0,24,1
55,45,0,3.9878,3.8144,0.0,0.0,12,0
40,30,0,4.2118,4.1614,0.0,0.04,16,1
33,31,0,3.8997,3.8245,0.0,0.0,14,1
24,17,40,4.1368,3.7345,4.0628,0.1212,15,0
10,0,0,2.9219,0.0,0.0,0.0,2,0
38,29,0,4.7544,4.4182,0.0,0.186,18,1
21,14,40,4.0114,3.6645,4.1439,0.0667,15,0
19,11,0,3.7216,2.5503,0.0,0.3636,8,0
67,57,0,4.838,4.679,0.0,0.0417,16,1
66,57,0,4.8475,4.679,0.0,0.0421,16,1
38,29,0,4.807,4.4871,0.0,0.186,18,1
40,33,0,3.6108,3.384,0.0,0.0,34,1
16,6,0,3.4528,2.585,0.0,0.1111,4,0
1,0,40,-0.0,0.0,4.2251,0.0606,8,0
29,22,0,3.9094,3.5383,0.0,0.0513,12,0
45,35,0,4.4112,4.3357,0.0,0.0,12,1
40,30,0,4.2342,3.7647,0.0,0.087,24,1
8,0,0,3.0,0.0,0.0,0.0,1,0
10,0,0,2.9219,0.0,0.0,0.0,2,0
6,0,0,2.585,0.0,0.0,0.0,1,0
33,23,0,4.3549,4.1757,0.0,0.05,16,1
30,20,0,4.3484,3.9219,0.0,0.1176,14,1
51,41,0,4.1107,3.842,0.0,0.0,13,0
67,57,0,4.838,4.679,0.0,0.0417,16,1
32,22,0,4.3278,3.8454,0.0,0.25,16,1
39,33,0,4.3555,4.0667,0.0,0.0,26,1
17,6,0,3.6169,2.585,0.0,0.1111,5,0
31,22,40,4.0023,3.5726,4.1964,0.0811,19,0
40,30,0,4.4464,4.1614,0.0,0.04,16,1
30,21,0,4.1232,3.8209,0.0,0.0,8,1
31,21,0,3.8457,3.4992,0.0,0.0,11,1
35,28,40,3.8354,3.6726,4.2939,0.0238,19,0
33,31,0,3.8997,3.8245,0.0,0.0,14,1
5,0,0,2.3219,0.0,0.0,0.0,1,0
37,30,0,4.0468,3.7647,0.0,0.093,24,1
26,24,0,3.5035,3.4387,0.0,0.0,24,1
43,33,0,3.638,3.384,0.0,0.0,35,1
28,22,0,4.2534,3.8454,0.0,0.2857,16,1
29,23,40,4.1852,3.882,4.3653,0.137,19,0
43,33,0,3.638,3.384,0.0,0.0,35,1
24,17,40,4.0016,3.6169,4.2031,0.0606,15,0
7,5,0,2.8074,2.3219,0.0,0.5,4,0
26,16,0,3.8731,3.75,0.0,0.0,4,0
6,0,0,2.585,0.0,0.0,0.0,1,0
32,22,0,4.2264,3.6978,0.0,0.125,18,1
35,33,0,4.3002,4.165,0.0,0.1786,12,0
40,30,0,4.4128,4.1614,0.0,0.0408,17,1
23,17,0,3.8492,3.6169,0.0,0.0,8,0
19,9,40,3.8924,3.1699,4.2439,0.0357,12,0
35,26,0,4.1363,3.8441,0.0,0.0,12,0
37,23,0,4.2735,3.7081,0.0,0.0,13,1
8,0,40,3.0,0.0,3.9562,0.05,8,0
9,0,0,2.7255,0.0,0.0,0.0,1,0
68,57,0,4.9305,4.679,0.0,0.0417,17,1
34,26,0,3.9147,3.7193,0.0,0.0417,12,0
34,32,40,4.396,4.2653,4.3153,0.092,19,0
27,21,0,3.9582,3.4992,0.0,0.0,10,1
32,24,0,4.2889,3.9702,0.0,0.0,14,1
29,23,0,3.9783,3.7081,0.0,0.0,12,1
22,15,0,3.8797,3.5069,0.0,0.069,8,0
33,22,0,4.3926,3.7544,0.0,0.25,17,1
35,25,0,3.8186,3.5133,0.0,0.0,8,0
14,8,0,3.3788,2.75,0.0,0.0,4,0
34,24,0,4.1944,3.9702,0.0,0.0,14,1
37,27,40,4.0237,3.9121,4.066,0.0714,20,0
40,30,0,4.1276,3.7647,0.0,0.0889,25,1
40,30,0,4.0464,3.7647,0.0,0.087,24,1
15,8,40,3.6402,2.75,4.2464,0.0385,11,0
20,6,0,4.0219,2.585,0.0,0.0952,5,0
33,24,0,4.0289,3.6573,0.0,0.0,8,0
34,27,0,4.2417,3.9582,0.0,0.0465,18,1
24,22,0,3.8868,3.6978,0.0,0.1667,18,1
13,6,0,3.5466,2.585,0.0,0.1333,4,0
41,32,40,4.3571,4.1167,4.2439,0.0213,19,0
37,27,0,4.2266,3.7043,0.0,0.4783,18,1
41,30,0,4.1804,3.7647,0.0,0.087,25,1
47,33,0,4.4105,4.0667,0.0,0.0,27,1
33,24,0,4.3171,3.9702,0.0,0.0,14,1
34,32,0,4.2561,4.1167,0.0,0.0741,12,0
23,13,0,3.6212,2.9312,0.0,0.1429,8,0
16,6,0,3.4528,2.585,0.0,0.1111,4,0
26,16,40,3.8543,3.3278,4.1464,0.0597,15,0
23,16,0,4.0888,3.625,0.0,0.0645,8,0
17,15,0,3.6169,3.3736,0.0,0.0,4,0
33,23,0,4.0179,3.7081,0.0,0.0,13,1
17,15,0,3.9698,3.7736,0.0,0.1667,8,0
34,24,0,4.1944,3.9702,0.0,0.0,14,1
9,0,0,2.4194,0.0,0.0,0.0,2,0
37,29,0,4.6485,4.3492,0.0,0.1905,18,1
40,30,0,4.2342,3.7647,0.0,0.087,24,1
9,0,40,2.4194,0.0,4.3842,0.05,9,0
44,30,0,4.5555,4.1614,0.0,0.0377,17,1
38,27,0,4.2211,3.9582,0.0,0.0435,19,1
31,23,0,4.0424,3.7081,0.0,0.0,12,1
20,6,0,4.0219,2.585,0.0,0.0952,5,0
39,33,0,3.601,3.384,0.0,0.0,34,1
33,24,0,4.3171,3.9702,0.0,0.0,14,1
34,23,0,4.1134,3.7081,0.0,0.0,13,1
31,21,0,3.9905,3.4992,0.0,0.0,10,1
43,36,0,4.1933,4.0095,0.0,0.0,12,0
9,0,40,3.1699,0.0,4.2251,0.0488,8,0
44,33,0,3.703,3.384,0.0,0.0,35,1
9,0,39,2.9477,0.0,3.9772,0.0,11,1
36,26,0,3.7527,3.4885,0.0,0.04,12,0
40,33,40,4.1087,3.862,4.0087,0.0426,19,0
46,35,0,4.5263,4.3357,0.0,0.0,13,1
13,0,0,3.5466,0.0,0.0,0.0,2,0
30,20,0,4.1647,3.9219,0.0,0.1176,14,1
28,21,0,4.1375,3.8209,0.0,0.0,8,1
43,33,0,3.8521,3.384,0.0,0.0,34,1
21,15,0,3.9161,3.5069,0.0,0.0,8,0
13,0,40,3.5466,0.0,4.2464,0.0455,9,0
9,0,40,2.9477,0.0,4.2251,0.0488,8,0
26,20,0,3.5074,2.9332,0.0,0.1765,12,0
36,22,0,4.3712,3.6978,0.0,0.1143,19,1
39,33,0,3.601,3.384,0.0,0.0,34,1
39,31,0,4.2462,4.0424,0.0,0.0357,12,0
12,6,0,3.4183,2.585,0.0,0.1429,4,0
12,5,40,3.585,2.3219,4.116,0.1304,11,0
7,0,40,2.8074,0.0,4.1776,0.0513,8,0
10,0,40,2.9219,0.0,3.8971,0.0488,9,0
11,5,0,3.4594,2.3219,0.0,0.3333,4,0
43,36,0,4.1848,3.9959,0.0,0.0,12,0
10,0,55,2.9219,0.0,4.4798,0.2407,11,1
9,0,55,2.7255,0.0,4.4798,0.2407,10,1
9,0,0,3.1699,0.0,0.0,0.0,1,0
59,57,0,4.7678,4.679,0.0,0.0455,16,1
41,33,0,3.7066,3.384,0.0,0.0,34,1
9,0,0,2.4194,0.0,0.0,0.0,2,0
9,0,0,2.4194,0.0,0.0,0.0,2,0
37,30,0,4.1753,3.7647,0.0,0.093,24,1
41,31,0,4.3267,4.0668,0.0,0.0,12,0
6,0,0,2.585,0.0,0.0,0.0,1,0
26,20,0,4.2389,3.9219,0.0,0.1333,14,1
10,0,0,2.9219,0.0,0.0,0.0,2,0
18,8,40,3.7255,2.75,4.2939,0.0364,11,0
51,41,0,4.0379,3.942,0.0,0.0,12,0
38,29,0,4.7017,4.3492,0.0,0.186,18,1
35,25,0,4.2506,3.9737,0.0,0.0,8,0
25,15,0,3.8937,3.5069,0.0,0.0625,8,0
24,22,0,3.8868,3.6978,0.0,0.1667,18,1
32,22,0,3.8553,3.5383,0.0,0.0476,12,0
36,30,0,4.3401,4.1614,0.0,0.0435,16,1
29,22,0,4.3232,3.8454,0.0,0.2759,16,1
34,24,0,4.147,3.9702,0.0,0.0,15,1
49,38,0,4.5366,4.0682,0.0,0.3714,17,1
28,21,0,3.9372,3.4992,0.0,0.0,10,1
50,41,0,4.3717,4.1411,0.0,0.1644,18,1
27,17,0,3.4723,2.911,0.0,0.0,8,0
44,34,0,4.715,4.3594,0.0,0.0769,18,1
40,33,0,3.5797,3.384,0.0,0.0,34,1
33,23,40,4.0179,3.8492,4.1939,0.1053,20,0
40,30,0,4.1276,3.7647,0.0,0.0889,25,1
37,29,0,4.7026,4.4182,0.0,0.1905,18,1
26,24,0,4.1329,3.9702,0.0,0.0,14,1
32,24,40,4.1167,3.7721,4.0873,0.0779,19,0
29,18,40,4.0304,3.5724,4.1251,0.0282,16,0
37,30,0,4.2035,3.7996,0.0,0.549,16,1
23,13,0,4.0888,3.5466,0.0,0.0714,8,0
29,22,40,4.2542,3.9706,4.1062,0.1389,19,0
45,34,0,4.7807,4.3594,0.0,0.0769,19,1
7,0,40,2.8074,0.0,4.2153,0.0513,8,0
32,24,0,3.7303,3.4387,0.0,0.0,24,1
9,0,0,2.9477,0.0,0.0,0.0,1,0
27,17,0,4.1623,3.7345,0.0,0.1667,8,0
40,30,0,4.1276,3.7647,0.0,0.0889,25,1
39,25,40,4.2655,3.6537,4.1939,0.0233,16,0
9,0,39,2.7255,0.0,3.9772,0.0,11,1
23,16,0,4.0018,3.5,0.0,0.0645,8,0
44,38,0,4.3951,4.0682,0.0,0.3939,16,1
21,14,40,3.7257,3.4677,4.3342,0.0312,11,0
30,20,0,4.3484,3.9219,0.0,0.1176,14,1
34,24,0,4.1944,3.9702,0.0,0.0,14,1
30,22,0,4.0566,3.6978,0.0,0.1333,18,1
20,9,40,3.8219,2.7255,4.1153,0.0351,12,0
39,29,0,4.6632,4.4871,0.0,0.1818,18,1
34,23,0,4.1134,3.7081,0.0,0.0,13,1
46,36,0,3.7978,3.7045,0.0,0.0,8,0
25,16,40,4.0537,3.75,4.0062,0.0286,11,0
1,0,0,-0.0,0.0,0.0,0.0,1,0
16,7,0,3.75,2.8074,0.0,0.0,4,0
35,33,0,3.4454,3.384,0.0,0.0,34,1
9,0,0,2.7255,0.0,0.0,0.0,1,0
34,24,40,3.8366,3.6054,4.0037,0.0759,19,0
36,22,40,4.2737,3.6635,4.1087,0.0513,20,0
10,0,0,2.9219,0.0,0.0,0.0,2,0
23,16,40,4.0231,3.75,4.1939,0.0294,11,0
32,25,0,4.1792,3.8635,0.0,0.0889,12,0
36,26,0,3.9404,3.8441,0.0,0.0,8,0
32,22,40,4.2889,3.9706,4.2342,0.1039,15,0
11,9,0,3.2776,2.9477,0.0,0.0,4,0
23,21,0,3.7081,3.4992,0.0,0.0,10,1
34,24,0,4.4297,3.9702,0.0,0.0,14,1
25,16,0,3.9239,3.3278,0.0,0.0606,8,0
16,8,0,3.5,2.75,0.0,0.0,4,0
34,24,0,3.8481,3.5535,0.0,0.087,12,0
13,6,0,3.5466,2.585,0.0,0.1333,4,0
45,38,0,4.4068,4.0682,0.0,0.3881,16,1
6,0,47,2.585,0.0,4.3901,0.3256,10,1
9,0,34,2.9477,0.0,4.1163,0.0625,8,1
29,23,0,3.8404,3.4686,0.0,0.1,12,0
6,0,0,2.585,0.0,0.0,0.0,1,0
34,24,0,4.1944,3.9702,0.0,0.0,14,1
41,31,0,3.9913,3.8245,0.0,0.0,14,1
10,0,0,2.9219,0.0,0.0,0.0,2,0
26,24,0,3.8731,3.6887,0.0,0.0526,12,0
42,31,0,4.3001,4.0181,0.0,0.0667,13,0
31,23,0,4.1155,3.9149,0.0,0.0,8,0
